29,2,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
29,3,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
29,4,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
29,5,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
29,6,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
29,7,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
29,8,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
29,9,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
29,10,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
29,11,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
29,12,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
29,13,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
29,14,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
29,15,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
29,16,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
29,17,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 2; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
