3,1,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
3,2,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
3,3,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
3,4,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
3,5,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
3,6,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
3,7,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
3,8,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
3,9,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
3,9,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
2,9,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
1,9,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
0,9,down,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_left
0,9,right,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
0,9,down,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
0,9,left,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
0,8,left,[0,0: null; 1,0: 2; 2,0: _; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: _; 2,2: _],turn_right
0,8,up,[0,0: null; 1,0: 2; 2,0: _; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
1,8,up,[0,0: 2; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
2,8,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
3,8,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
4,8,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
5,8,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
6,8,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
7,8,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
8,8,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
9,8,up,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],turn_right
9,8,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
9,9,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: null; 1,2: null; 2,2: null],turn_right
9,9,down,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: null; 1,2: null; 2,2: null],move_forward
8,9,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
7,9,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
6,9,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
5,9,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
4,9,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
3,9,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
2,9,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
1,9,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
0,9,down,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
0,9,left,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
0,8,left,[0,0: null; 1,0: 2; 2,0: _; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: _; 2,2: _],turn_left
0,8,down,[0,0: null; 1,0: 2; 2,0: _; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: _; 2,2: _],turn_left
0,8,right,[0,0: null; 1,0: 2; 2,0: _; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: _; 2,2: _],move_forward
0,9,right,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
0,9,down,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_left
0,9,right,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_left
0,9,up,[0,0: null; 1,0: _; 2,0: _; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
1,9,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: 2; 0,2: null; 1,2: null; 2,2: null],turn_right
1,9,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: 2; 0,2: null; 1,2: null; 2,2: null],turn_left
1,9,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: 2; 0,2: null; 1,2: null; 2,2: null],turn_left
1,9,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: 2; 0,2: null; 1,2: null; 2,2: null],move_forward
1,8,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: 2; 2,2: _],move_forward
1,7,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
1,6,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
1,5,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
1,4,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
1,3,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
1,2,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
1,1,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
1,0,left,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
1,0,down,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
0,0,down,[0,0: null; 1,0: null; 2,0: null; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: 2; 2,2: _],turn_left
0,0,right,[0,0: null; 1,0: null; 2,0: null; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: 2; 2,2: _],turn_right
0,0,down,[0,0: null; 1,0: null; 2,0: null; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: 2; 2,2: _],turn_left
0,0,right,[0,0: null; 1,0: null; 2,0: null; 0,1: null; 1,1: 3; 2,1: _; 0,2: null; 1,2: 2; 2,2: _],turn_left
