1,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
2,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: 3],move_forward
3,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: 3; 2,2: _],move_forward
4,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 3; 2,1: _; 0,2: 3; 1,2: _; 2,2: _],move_forward
5,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
6,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
7,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
8,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
9,0,up,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],turn_right
9,0,right,[0,0: null; 1,0: null; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
9,1,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
9,2,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
9,3,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
9,4,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
9,5,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
9,6,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
9,7,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
9,8,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
9,9,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: null; 1,2: null; 2,2: null],turn_right
9,9,down,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 3; 2,1: null; 0,2: null; 1,2: null; 2,2: null],move_forward
8,9,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
7,9,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
