69,37,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 65; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
69,38,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 65; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
69,39,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 65; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
69,40,right,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 65; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
69,41,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 65; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
69,42,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 65; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
69,43,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 65; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
69,44,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 65; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
69,45,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 65; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
69,46,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 65; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
69,47,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 65; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
69,48,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 65; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
69,49,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 65; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_left
69,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 65; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
70,49,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 65; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
71,49,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 65; 2,1: 76; 0,2: null; 1,2: null; 2,2: null],turn_right
71,49,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 65; 2,1: 76; 0,2: null; 1,2: null; 2,2: null],turn_left
71,49,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 65; 2,1: 76; 0,2: null; 1,2: null; 2,2: null],turn_right
71,49,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 65; 2,1: 76; 0,2: null; 1,2: null; 2,2: null],turn_left
71,49,up,[0,0: _; 1,0: 1; 2,0: 76; 0,1: _; 1,1: 65; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
72,49,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 65; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
73,49,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 65; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
74,49,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 65; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
75,49,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 65; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
76,49,up,[0,0: _; 1,0: _; 2,0: 98; 0,1: _; 1,1: 65; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
77,49,up,[0,0: _; 1,0: 98; 2,0: _; 0,1: _; 1,1: 65; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
78,49,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 65; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
79,49,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 65; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
80,49,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 65; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
81,49,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 65; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
