26,11,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 13; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
26,12,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 13; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
26,13,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 13; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
26,14,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 13; 2,1: _; 0,2: _; 1,2: 99; 2,2: _],turn_right
26,14,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 13; 2,1: _; 0,2: 99; 1,2: _; 2,2: _],move_forward
25,14,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 13; 2,1: _; 0,2: 99; 1,2: _; 2,2: _],move_forward
24,14,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 13; 2,1: _; 0,2: 99; 1,2: _; 2,2: _],move_forward
23,14,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 13; 2,1: _; 0,2: 99; 1,2: _; 2,2: _],turn_left
23,14,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 13; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
23,15,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 13; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
23,16,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 13; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
23,17,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 13; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
23,18,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 13; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
