21,15,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 30; 2,1: 71; 0,2: _; 1,2: _; 2,2: _],move_forward
21,16,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 30; 2,1: 71; 0,2: _; 1,2: _; 2,2: _],move_forward
21,17,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 30; 2,1: 71; 0,2: _; 1,2: 1; 2,2: _],turn_right
21,17,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 30; 2,1: _; 0,2: _; 1,2: 1; 2,2: 71],move_forward
20,17,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 30; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_right
20,17,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 30; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
20,16,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 30; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
20,15,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 30; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
20,14,left,[0,0: 1; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 30; 2,1: _; 0,2: _; 1,2: _; 2,2: 99],turn_right
20,14,up,[0,0: 1; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 30; 2,1: _; 0,2: _; 1,2: 99; 2,2: _],move_forward
21,14,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 30; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
21,14,left,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 30; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
21,14,down,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 30; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
20,14,down,[0,0: 1; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 30; 2,1: _; 0,2: 99; 1,2: _; 2,2: _],move_forward
19,14,down,[0,0: 18; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 30; 2,1: _; 0,2: _; 1,2: 99; 2,2: _],move_forward
18,14,down,[0,0: _; 1,0: 18; 2,0: 1; 0,1: 1; 1,1: 30; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
18,14,left,[0,0: 18; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 30; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
18,13,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 30; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
18,12,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 30; 2,1: 36; 0,2: _; 1,2: _; 2,2: 1],move_forward
18,11,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 30; 2,1: _; 0,2: _; 1,2: 36; 2,2: _],turn_left
18,11,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: 99; 1,1: 30; 2,1: _; 0,2: 36; 1,2: _; 2,2: _],turn_left
18,11,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: 99; 1,1: 30; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
18,12,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 30; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
18,13,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 30; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
