4,47,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 4; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
4,48,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 4; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
4,48,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 4; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
5,48,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 4; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
6,48,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 4; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_right
6,48,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 4; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
6,49,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 4; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
6,49,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 4; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
5,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 4; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_left
5,49,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 4; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
5,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 4; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
5,49,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 4; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
5,48,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 4; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
5,47,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 4; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
5,46,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 4; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
5,45,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 5; 1,1: 4; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
5,44,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 4; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
5,43,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 4; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
5,42,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 4; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
5,41,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 4; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
