94,19,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 51; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
94,20,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 51; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
94,21,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 51; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
94,22,right,[0,0: 1; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 51; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
94,23,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 51; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
94,23,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 51; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],move_forward
93,23,down,[0,0: 1; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 51; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],turn_right
93,23,left,[0,0: 1; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 51; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],turn_right
93,23,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 51; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
94,23,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 51; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
94,23,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 51; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
94,23,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 51; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],move_forward
93,23,down,[0,0: 1; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 51; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],turn_left
93,23,right,[0,0: 1; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 51; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
93,24,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 51; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
93,24,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 51; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_left
93,24,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 51; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
93,24,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 51; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
93,24,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 51; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],move_forward
93,23,left,[0,0: 1; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 51; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],turn_right
93,23,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 51; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
94,23,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 51; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_left
94,23,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 51; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],move_forward
94,22,left,[0,0: 1; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 51; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
94,21,left,[0,0: _; 1,0: _; 2,0: 3; 0,1: 1; 1,1: 51; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
94,20,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 51; 2,1: 3; 0,2: 1; 1,2: _; 2,2: 1],move_forward
94,19,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 51; 2,1: _; 0,2: _; 1,2: _; 2,2: 3],move_forward
94,18,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 51; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],turn_left
