21,37,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 46; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
21,38,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 46; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
21,39,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 46; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],turn_right
21,39,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 46; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],turn_right
21,39,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 46; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],move_forward
21,38,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 46; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
21,37,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 46; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
21,36,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 46; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
21,35,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 46; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
21,35,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 46; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
20,35,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 46; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
19,35,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 46; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
18,35,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 46; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
18,35,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 46; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
18,36,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 46; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
18,37,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 46; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
18,38,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 46; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
18,39,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 46; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
18,40,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 46; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
18,41,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 46; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
18,42,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 46; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
18,43,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 46; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
18,43,up,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 46; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
19,43,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 46; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
20,43,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 46; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
21,43,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 46; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
