90,36,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 31; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
90,37,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 31; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
90,38,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 31; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
90,39,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 31; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
90,40,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 31; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
90,41,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 31; 2,1: _; 0,2: 81; 1,2: _; 2,2: _],move_forward
90,42,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 31; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
90,42,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 31; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
91,42,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 31; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
92,42,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 31; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
93,42,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 31; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
94,42,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 31; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
95,42,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 31; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
96,42,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 31; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
96,42,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 31; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
96,41,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 31; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
96,40,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 31; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
96,39,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 31; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
96,39,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 31; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
96,39,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 31; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
96,40,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 31; 2,1: _; 0,2: 90; 1,2: _; 2,2: _],move_forward
96,41,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 90; 1,1: 31; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
96,42,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 31; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
96,43,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 31; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
96,44,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 31; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
96,45,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 31; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
96,45,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 31; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
96,45,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 31; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
96,45,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 31; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
96,45,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 31; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
96,45,up,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 31; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
97,45,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 31; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
98,45,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 31; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
99,45,up,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 31; 2,1: null; 0,2: _; 1,2: _; 2,2: null],turn_right
99,45,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 31; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,46,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 31; 2,1: null; 0,2: _; 1,2: _; 2,2: null],move_forward
99,47,right,[0,0: _; 1,0: _; 2,0: null; 0,1: _; 1,1: 31; 2,1: null; 0,2: 1; 1,2: _; 2,2: null],move_forward
99,48,right,[0,0: _; 1,0: _; 2,0: null; 0,1: 1; 1,1: 31; 2,1: null; 0,2: 1; 1,2: _; 2,2: null],move_forward
99,49,right,[0,0: 1; 1,0: _; 2,0: null; 0,1: 1; 1,1: 31; 2,1: null; 0,2: null; 1,2: null; 2,2: null],turn_right
99,49,down,[0,0: 1; 1,0: _; 2,0: null; 0,1: 1; 1,1: 31; 2,1: null; 0,2: null; 1,2: null; 2,2: null],turn_left
99,49,right,[0,0: 1; 1,0: _; 2,0: null; 0,1: 1; 1,1: 31; 2,1: null; 0,2: null; 1,2: null; 2,2: null],turn_right
99,49,down,[0,0: 1; 1,0: _; 2,0: null; 0,1: 1; 1,1: 31; 2,1: null; 0,2: null; 1,2: null; 2,2: null],turn_right
