49,38,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 39; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
49,39,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 39; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
49,39,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 39; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
48,39,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 39; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_right
48,39,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 39; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
48,38,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 39; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],turn_left
48,38,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 39; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
47,38,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 39; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
46,38,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 39; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
45,38,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 39; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
45,38,left,[0,0: _; 1,0: 45; 2,0: _; 0,1: 1; 1,1: 39; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
45,38,up,[0,0: _; 1,0: 45; 2,0: _; 0,1: 1; 1,1: 39; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
46,38,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 39; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
47,38,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 39; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
48,38,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 39; 2,1: _; 0,2: 1; 1,2: 16; 2,2: _],move_forward
49,38,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: 16; 1,1: 39; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
50,38,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 39; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
51,38,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 39; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
52,38,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 39; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
53,38,up,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 39; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
54,38,up,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 39; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
55,38,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 39; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
56,38,up,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 39; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
57,38,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 39; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
58,38,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 39; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],move_forward
59,38,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 39; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
60,38,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 39; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
60,38,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 39; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
60,37,left,[0,0: _; 1,0: 55; 2,0: _; 0,1: _; 1,1: 39; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_left
60,37,down,[0,0: _; 1,0: 55; 2,0: _; 0,1: _; 1,1: 39; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
59,37,down,[0,0: _; 1,0: _; 2,0: 55; 0,1: _; 1,1: 39; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
58,37,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 39; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_left
58,37,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 39; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
58,38,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 39; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],turn_left
58,38,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 39; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],move_forward
59,38,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 39; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
60,38,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 39; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
60,38,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 39; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
60,37,left,[0,0: _; 1,0: 55; 2,0: _; 0,1: _; 1,1: 39; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_right
60,37,up,[0,0: _; 1,0: 55; 2,0: _; 0,1: _; 1,1: 39; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
61,37,up,[0,0: 55; 1,0: _; 2,0: 1; 0,1: _; 1,1: 39; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
62,37,up,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 39; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
63,37,up,[0,0: 1; 1,0: 1; 2,0: 64; 0,1: _; 1,1: 39; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],turn_left
63,37,left,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 39; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],turn_left
63,37,down,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 39; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],move_forward
