93,29,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 25; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
93,30,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 25; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
93,31,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 25; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
93,32,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 25; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
93,33,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 25; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
93,34,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 25; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
93,35,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 25; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
93,36,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 25; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
93,36,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 25; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],move_forward
92,36,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 25; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
91,36,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 25; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
90,36,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 25; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
90,36,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 25; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
90,35,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 25; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
90,34,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 25; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
90,33,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 25; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
