4,29,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 5; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
4,30,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 5; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
4,31,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 5; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
4,32,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 5; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
4,33,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 5; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
4,34,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 5; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
4,35,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 5; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
4,36,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 5; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
4,37,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 5; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
4,38,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 5; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
4,39,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 5; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
4,40,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 5; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
4,41,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 5; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
4,42,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 5; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
4,43,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 5; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
4,44,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 5; 2,1: _; 0,2: 1; 1,2: _; 2,2: 4],move_forward
4,45,right,[0,0: _; 1,0: _; 2,0: 4; 0,1: 1; 1,1: 5; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
4,46,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 5; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
4,47,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 5; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
4,48,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 5; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_right
