87,49,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 98; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
87,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 98; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
86,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 98; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
85,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 98; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
84,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 98; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
83,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 98; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
82,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 98; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
81,49,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 98; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
80,49,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 98; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
79,49,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 98; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
78,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 76; 1,1: 98; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
78,49,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 76; 1,1: 98; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
78,48,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 98; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
78,47,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 98; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
78,46,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 98; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],turn_right
78,46,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 98; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],turn_right
78,46,right,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 98; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
78,47,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 98; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
78,48,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 98; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
78,49,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 98; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
78,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 98; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
77,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 76; 1,1: 98; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_left
77,49,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 76; 1,1: 98; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
77,49,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 76; 1,1: 98; 2,1: _; 0,2: null; 1,2: null; 2,2: null],turn_right
77,49,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 76; 1,1: 98; 2,1: _; 0,2: null; 1,2: null; 2,2: null],move_forward
77,48,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 98; 2,1: _; 0,2: 76; 1,2: 65; 2,2: _],turn_left
77,48,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 98; 2,1: _; 0,2: 76; 1,2: _; 2,2: 65],move_forward
76,48,down,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 98; 2,1: _; 0,2: _; 1,2: 76; 2,2: _],move_forward
75,48,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 98; 2,1: _; 0,2: _; 1,2: _; 2,2: 76],turn_right
75,48,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 98; 2,1: _; 0,2: _; 1,2: _; 2,2: 76],turn_right
75,48,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 98; 2,1: _; 0,2: _; 1,2: _; 2,2: 76],move_forward
76,48,up,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 98; 2,1: _; 0,2: _; 1,2: 76; 2,2: _],move_forward
77,48,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 98; 2,1: _; 0,2: 76; 1,2: _; 2,2: 65],move_forward
78,48,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 98; 2,1: _; 0,2: _; 1,2: 65; 2,2: _],move_forward
79,48,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 98; 2,1: 1; 0,2: 65; 1,2: _; 2,2: _],turn_left
79,48,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 98; 2,1: 1; 0,2: 65; 1,2: _; 2,2: _],move_forward
79,47,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 98; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_left
79,47,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 98; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
78,47,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 98; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
78,47,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: 1; 1,1: 98; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
78,46,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 98; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],turn_left
78,46,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 98; 2,1: 1; 0,2: 1; 1,2: _; 2,2: _],move_forward
77,46,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 98; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
76,46,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 98; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
75,46,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 98; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
