7,15,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 37; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
7,16,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 37; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
7,17,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 37; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],move_forward
7,18,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 37; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
7,19,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 37; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
7,20,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 37; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
7,21,right,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 37; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
7,22,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 37; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
7,23,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 37; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
7,24,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 37; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
7,25,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 37; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
7,26,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 37; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
7,27,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 37; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
7,27,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 37; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
8,27,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 37; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
9,27,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 37; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
10,27,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 37; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
11,27,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 37; 2,1: _; 0,2: 1; 1,2: _; 2,2: 1],move_forward
12,27,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 37; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
13,27,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 37; 2,1: _; 0,2: 1; 1,2: 2; 2,2: _],move_forward
14,27,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: 2; 1,1: 37; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
15,27,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 37; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_left
15,27,left,[0,0: _; 1,0: _; 2,0: _; 0,1: 2; 1,1: 37; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
15,26,left,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 37; 2,1: _; 0,2: _; 1,2: 2; 2,2: 1],move_forward
15,25,left,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 37; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
15,25,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 37; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
16,25,up,[0,0: 1; 1,0: _; 2,0: 1; 0,1: _; 1,1: 37; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
